statDate,q1,q2,auto,geo,gender,age,poll
16.12.19 20:33,Дром,drom·ru,"Да, я его вожу",в Челябинской области,Мужчина,45-50 лет,chel01
16.12.19 20:33,Дром,drom·ru,"Да, я его вожу",в Челябинской области,Мужчина,45-50 лет,chel01
16.12.19 21:00,Дром ру,drom·ru,"Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
16.12.19 21:53,Нет,avito·ru,Нет,Нижневартовск,Мужчина,менее 18 лет,chel01
16.12.19 22:54,Дром авто,auto·ru,"Да, но я его не вожу",в Челябинской области,Мужчина,менее 18 лет,chel01
16.12.19 23:02,Дром.ru,"drom·ru, avito·ru","Да, но я его не вожу",в Челябинске,Мужчина,18-24 лет,chel01
17.12.19 00:25,Авито авто ру дроН,"drom·ru, auto·ru","Да, я его вожу",в Челябинской области,Мужчина,51 и более лет,chel01
17.12.19 00:39,"Дром, Авито, юла","drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинской области,Женщина,25-34 лет,chel01
17.12.19 00:50,Авито дром ру авто ру,"drom·ru, auto·ru, avito·ru","Да, но я его не вожу",Полевской,Мужчина,18-24 лет,chel01
17.12.19 00:51,Авито,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,18-24 лет,chel01
17.12.19 01:47,Дром. Ru,drom·ru,"Да, я его вожу",в Челябинской области,Мужчина,51 и более лет,chel01
17.12.19 01:48,Автору,"auto·ru, avito·ru",Нет,Тюменская область,Мужчина,менее 18 лет,chel01
17.12.19 01:49,Дром. ru,drom·ru,"Да, я его вожу",в Челябинской области,Мужчина,51 и более лет,chel01
17.12.19 02:38,Авито,auto·ru,Нет,Каколым,Мужчина,25-34 лет,chel01
17.12.19 02:39,Авито,avito·ru,Нет,Каголыме,Мужчина,25-34 лет,chel01
17.12.19 03:01,Дром ру,drom·ru,Нет,в Челябинске,Мужчина,25-34 лет,chel01
17.12.19 03:02,Drom.ru ,"drom·ru, auto·ru, avito·ru",Нет,в Челябинске,Мужчина,25-34 лет,chel01
17.12.19 03:08,Авито,"auto·ru, avito·ru","Да, я его вожу",в Челябинской области,Мужчина,45-50 лет,chel01
17.12.19 03:26,Авито ру,avito·ru,Нет,в Челябинске,Мужчина,51 и более лет,chel01
17.12.19 03:53,Авто.ру,Авто.ру,Нет,в Челябинской области,Женщина,менее 18 лет,chel01
17.12.19 03:55,Авто.ру,auto·ru,Нет,в Челябинской области,Женщина,менее 18 лет,chel01
17.12.19 03:55,Авто.ру,auto·ru,Нет,в Челябинской области,Женщина,менее 18 лет,chel01
17.12.19 03:55,"Авито,Авто.ру","auto·ru, avito·ru","Да, я его вожу",в Челябинской области,Мужчина,51 и более лет,chel01
17.12.19 03:58,Никаких.не.знают,avito·ru,"Да, я его вожу",Нижегородская.область,Мужчина,51 и более лет,chel01
17.12.19 04:02,Никаких,avito·ru,"Да, я его вожу",Нижегородская.область,Мужчина,51 и более лет,chel01
17.12.19 04:32,Дп,"drom·ru, avito·ru",Нет,в Челябинской области,Мужчина,менее 18 лет,chel01
17.12.19 04:33,Да,"drom·ru, auto·ru, avito·ru",Нет,в Челябинской области,Мужчина,менее 18 лет,chel01
17.12.19 04:53,Авито,avito·ru,"Да, я его вожу",в Челябинске,Мужчина,18-24 лет,chel01
17.12.19 05:02,Авито,avito·ru,"Да, но я его не вожу",в Челябинске,Мужчина,18-24 лет,chel01
17.12.19 05:04,Авто.ру,auto·ru,"Да, но я его не вожу",Тюменской области,Мужчина,18-24 лет,chel01
17.12.19 05:04,Авто.ру,auto·ru,"Да, но я его не вожу",Тюменской области,Мужчина,18-24 лет,chel01
17.12.19 05:56,Авито,"auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
17.12.19 05:58,Авито,"auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
