statDate,q1,q2,auto,geo,gender,age,poll
16.12.19 23:57,Авто .ру,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
17.12.19 02:12,Дром. ру,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
17.12.19 02:13,Дром.ру,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
17.12.19 02:19,Авто .ру,drom·ru,"Да, но я его не вожу",в Челябинске,Женщина,25-34 лет,chel01
17.12.19 02:20,Мопми,drom·ru,"Да, я его вожу",в Челябинской области,Мужчина,45-50 лет,chel01
17.12.19 03:24,Авито,"drom·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,45-50 лет,chel01
17.12.19 03:30,Из рук в руки,Из рук в руки или тумба,"Да, я его вожу",в Челябинске,Мужчина,25-34 лет,chel01
17.12.19 04:40,Авто.ру,auto·ru,"Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
17.12.19 05:24,Drom,drom·ru,"Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
17.12.19 05:42,"Д-ром, авто.ру","drom·ru, auto·ru","Да, я его вожу",в Челябинске,Мужчина,45-50 лет,chel01
17.12.19 06:10,Ни одного,Аааа,Нет,в Челябинске,Мужчина,51 и более лет,chel01
17.12.19 06:38,Авито,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
17.12.19 07:10,"Я и так перешёл на ваш сраный опрос, так вы еще и заставляете меня писать что то. Составители теста, вы там совсем ахуели? Я бы уволил вас нахуй. ","drom·ru, auto·ru, avito·ru",Нет,в Челябинской области,Женщина,35-44 лет,chel01
17.12.19 12:27,Несколько ,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
17.12.19 12:55,Дром ,"drom·ru, auto·ru, avito·ru","Да, но я его не вожу",в Челябинске,Мужчина,25-34 лет,chel01
17.12.19 14:39,Дром ру,"drom·ru, auto·ru","Да, я его вожу",в Челябинске,Мужчина,45-50 лет,chel01
17.12.19 17:34,"Авито, авто.ру",avito·ru,"Да, я его вожу",в Челябинске,Мужчина,45-50 лет,chel01
17.12.19 20:03,Никакие,Нигде,Нет,в Челябинске,Мужчина,18-24 лет,chel01
17.12.19 20:06,дром,drom·ru,Нет,в Челябинске,Мужчина,51 и более лет,chel01
17.12.19 22:05,"Авто.ру, авито-авто",auto·ru,Нет,в Челябинске,Мужчина,менее 18 лет,chel01
17.12.19 23:31,Автору,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,45-50 лет,chel01
18.12.19 00:57,Дром. Ру,"drom·ru, avito·ru",Нет,в Челябинске,Мужчина,35-44 лет,chel01
18.12.19 00:58,Авито. ,"drom·ru, auto·ru, avito·ru",Нет,в Челябинске,Мужчина,35-44 лет,chel01
18.12.19 01:32,вы лохи,"drom·ru, auto·ru, avito·ru","Да, но я его не вожу",в Челябинске,Женщина,18-24 лет,chel01
18.12.19 01:46,"Авито, Дром",drom·ru,"Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
18.12.19 02:01,Авто. Ру,auto·ru,"Да, но я его не вожу",в Челябинске,Женщина,25-34 лет,chel01
18.12.19 03:04,Авито,"drom·ru, auto·ru, avito·ru","Да, но я его не вожу",в Челябинске,Мужчина,менее 18 лет,chel01
18.12.19 03:06,Авито,"drom·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
18.12.19 03:27,"Дром, авто.ру, Авито","drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,25-34 лет,chel01
18.12.19 04:31,No,"drom·ru, auto·ru, avito·ru",Нет,в Челябинске,Мужчина,25-34 лет,chel01
18.12.19 04:33,74ру,"drom·ru, auto·ru","Да, я его вожу",в Челябинске,Мужчина,45-50 лет,chel01
18.12.19 04:33,74ру,"drom·ru, auto·ru","Да, я его вожу",в Челябинске,Мужчина,45-50 лет,chel01
18.12.19 04:39,drom.ru,nothing,"Да, я его вожу",в Челябинске,Мужчина,25-34 лет,chel01
18.12.19 04:43,Авто ру . Авито,"auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,25-34 лет,chel01
18.12.19 05:18,Auto.ru,"auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,25-34 лет,chel01
18.12.19 05:35,Авито,avito·ru,"Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
18.12.19 06:08,Дом.ру,drom·ru,Нет,в Челябинске,Мужчина,35-44 лет,chel01
18.12.19 08:59,"Дром, Авито,,авто.ру,юла","drom·ru, auto·ru, avito·ru",Нет,в Челябинске,Мужчина,51 и более лет,chel01
18.12.19 10:45,Www,На заборе,Нет,в Челябинске,Мужчина,45-50 лет,chel01
18.12.19 13:49,никакие,avito·ru,"Да, но я его не вожу",в Челябинске,Мужчина,51 и более лет,chel01
18.12.19 16:21,авто дром,drom·ru,"Да, я его вожу",в Челябинске,Мужчина,менее 18 лет,chel01
18.12.19 17:15,Дром авито,"drom·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,25-34 лет,chel01
18.12.19 17:19,Автору,avito·ru,"Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
