respondent_id,collector_id,date_created,date_modified,ip_address,q1,q2_1,q2_2,q2_3,q2_4,auto,geo,geo_dop,gender,age,poll
11233803497,251542170,2019-12-19 15:40:34,2019-12-19 15:42:07,85.140.17.148,"авито , авто.",,auto.ru,,,Нет,В Свердловской области,,Мужчина,51 и более лет,ekat01
11233176056,251531412,2019-12-19 07:31:10,2019-12-19 07:32:01,188.234.210.61,Авито,drom.ru,,,,"Да, я его вожу",В Екатеринбурге,,Мужчина,25-34 лет,ekat01
11232135397,251531412,2019-12-18 21:28:33,2019-12-18 21:29:22,195.64.208.186,Auto. Ru drom. Ru,,auto.ru,,,"Да, я его вожу",В Екатеринбурге,,Мужчина,18-24 лет,ekat01
11232114302,251531412,2019-12-18 21:19:49,2019-12-18 21:20:46,188.234.109.25,Автору,,auto.ru,,,"Да, я его вожу",В Свердловской области,,Мужчина,25-34 лет,ekat01
11232105009,251531412,2019-12-18 21:16:10,2019-12-18 21:17:10,92.248.216.181,2-3,drom.ru,auto.ru,,,"Да, я его вожу",В Екатеринбурге,,Мужчина,25-34 лет,ekat01
11232103898,251531412,2019-12-18 21:16:14,2019-12-18 21:16:44,31.173.103.12,Авто ру,,auto.ru,,,"Да, я его вожу",В Екатеринбурге,,Мужчина,25-34 лет,ekat01
11232100349,251531412,2019-12-18 21:14:32,2019-12-18 21:15:22,178.75.51.2,Авитое,,,avito.ru,,"Да, я его вожу",В Екатеринбурге,,Мужчина,25-34 лет,ekat01
11232098035,251531412,2019-12-18 21:13:46,2019-12-18 21:14:29,5.189.58.50,Авито,,,avito.ru,,"Да, я его вожу",В Екатеринбурге,,Мужчина,18-24 лет,ekat01
11232094223,251531412,2019-12-18 21:11:48,2019-12-18 21:12:58,188.17.182.143,Авто.ру дром.ру,drom.ru,auto.ru,,,"Да, я его вожу",В Екатеринбурге,,Мужчина,35-44 лет,ekat01
11232088635,251531412,2019-12-18 21:10:19,2019-12-18 21:10:49,185.251.222.25,Авто ру,,auto.ru,,,"Да, я его вожу",В Свердловской области,,Мужчина,25-34 лет,ekat01
11232083916,251531412,2019-12-18 21:08:26,2019-12-18 21:08:58,178.176.112.100,Автору,,auto.ru,,,"Да, я его вожу",В Екатеринбурге,,Мужчина,35-44 лет,ekat01
11232080306,251531412,2019-12-18 21:06:08,2019-12-18 21:07:34,193.168.177.29,"Drom,",,auto.ru,,,"Да, я его вожу",В Екатеринбурге,,Мужчина,25-34 лет,ekat01
11232079522,251531412,2019-12-18 21:06:30,2019-12-18 21:07:15,5.165.4.99,Дром,drom.ru,auto.ru,avito.ru,,"Да, я его вожу",В Екатеринбурге,,Мужчина,35-44 лет,ekat01
11232078882,251531412,2019-12-18 21:05:10,2019-12-18 21:07:00,89.251.65.134,Никакие,,,,Идите в пизду,"Да, я его вожу",В Свердловской области,,Мужчина,18-24 лет,ekat01
11232077962,251531412,2019-12-18 21:05:26,2019-12-18 21:06:38,83.149.37.185,Е1,drom.ru,,,,"Да, я его вожу",В Екатеринбурге,,Мужчина,25-34 лет,ekat01
11232076456,251531412,2019-12-18 21:05:08,2019-12-18 21:06:01,5.165.24.76,"Авто.ру,авито",,auto.ru,,,"Да, я его вожу",В Екатеринбурге,,Мужчина,35-44 лет,ekat01
11232072256,251531412,2019-12-18 21:03:25,2019-12-18 21:04:24,178.46.89.175,Дром,drom.ru,auto.ru,avito.ru,,"Да, я его вожу",В Екатеринбурге,,Мужчина,25-34 лет,ekat01
11232071036,251531412,2019-12-18 21:03:20,2019-12-18 21:03:56,5.166.36.28,Авито,,,avito.ru,,Нет,В Екатеринбурге,,Мужчина,25-34 лет,ekat01
11232067803,251531412,2019-12-18 21:02:02,2019-12-18 21:02:43,94.51.134.177,auto.ru,,auto.ru,,,"Да, я его вожу",В Екатеринбурге,,Мужчина,25-34 лет,ekat01
11232065141,251531412,2019-12-18 21:00:58,2019-12-18 21:01:54,188.226.27.47,авито,drom.ru,auto.ru,avito.ru,,"Да, я его вожу",В Екатеринбурге,,Мужчина,25-34 лет,ekat01
11232058325,251531412,2019-12-18 20:58:12,2019-12-18 21:00:55,91.229.111.27,"авто.ру.  авито, дром, юла",drom.ru,auto.ru,avito.ru,,"Да, я его вожу",В Свердловской области,,Мужчина,25-34 лет,ekat01
11232055338,251531412,2019-12-18 20:57:14,2019-12-18 20:57:43,195.64.208.213,Авто ру,,auto.ru,,,"Да, я его вожу",В Екатеринбурге,,Мужчина,25-34 лет,ekat01
11232049288,251531412,2019-12-18 20:54:26,2019-12-18 20:56:31,178.176.112.73,Автто,drom.ru,auto.ru,avito.ru,,"Да, я его вожу",В Екатеринбурге,,Мужчина,25-34 лет,ekat01
11232049096,251531412,2019-12-18 20:54:25,2019-12-18 20:55:13,217.76.189.171,Авито,drom.ru,auto.ru,avito.ru,,"Да, я его вожу",В Екатеринбурге,,Мужчина,35-44 лет,ekat01
11232048682,251531412,2019-12-18 20:53:42,2019-12-18 20:55:03,178.46.127.45,"Авто.ру, дром, авито, юла",drom.ru,auto.ru,avito.ru,,"Да, я его вожу",В Свердловской области,,Мужчина,25-34 лет,ekat01
11232047730,251531412,2019-12-18 20:54:03,2019-12-18 20:54:41,94.31.132.112,Автору,,auto.ru,,,"Да, я его вожу",В Екатеринбурге,,Мужчина,25-34 лет,ekat01
11232045899,251531412,2019-12-18 20:53:16,2019-12-18 20:53:57,77.223.76.176,Авито,,auto.ru,avito.ru,,"Да, я его вожу",В Екатеринбурге,,Мужчина,35-44 лет,ekat01
11232044022,251531412,2019-12-18 20:52:39,2019-12-18 20:53:13,178.75.20.137,Авито,,,avito.ru,,"Да, я его вожу",В Екатеринбурге,,Мужчина,25-34 лет,ekat01
11232042659,251531412,2019-12-18 20:44:23,2019-12-18 20:52:40,176.59.215.197,Drom. Ru,drom.ru,auto.ru,avito.ru,,"Да, я его вожу",В Екатеринбурге,,Мужчина,25-34 лет,ekat01
11232039342,251531412,2019-12-18 20:50:32,2019-12-18 20:51:21,5.189.64.78,Авто.ру,,auto.ru,,,"Да, я его вожу",В Екатеринбурге,,Мужчина,25-34 лет,ekat01
11232029477,251531412,2019-12-18 20:45:54,2019-12-18 20:47:28,176.215.1.61,Дром.ру,,,,Е1 .,"Да, я его вожу",В Екатеринбурге,,Мужчина,25-34 лет,ekat01
11232025413,251531412,2019-12-18 20:44:10,2019-12-18 20:45:51,213.191.23.208,Auto. ru,drom.ru,auto.ru,avito.ru,,"Да, я его вожу",В Екатеринбурге,,Мужчина,35-44 лет,ekat01
11232017932,251531412,2019-12-18 20:41:03,2019-12-18 20:42:53,178.213.205.25,ku.ku,,,,ku.ku,"Да, я его вожу",В Свердловской области,,Мужчина,51 и более лет,ekat01
11232012680,251531412,2019-12-18 20:39:58,2019-12-18 20:41:17,188.16.22.159,Авто ру,,auto.ru,,,"Да, я его вожу",В Екатеринбурге,,Женщина,45-50 лет,ekat01
11232008879,251531412,2019-12-18 20:38:13,2019-12-18 20:39:58,94.51.206.157,не пользуюсь,,,,не пользуюсь,"Да, я его вожу",В Свердловской области,,Мужчина,25-34 лет,ekat01
11232008318,251531412,2019-12-18 20:37:52,2019-12-18 20:38:59,94.50.121.238,"Авито, авто,ру, дром",drom.ru,auto.ru,avito.ru,,"Да, я его вожу",В Екатеринбурге,,Мужчина,35-44 лет,ekat01
11232005647,251531412,2019-12-18 20:37:02,2019-12-18 20:37:57,176.59.202.203,Дром,drom.ru,auto.ru,,,"Да, я его вожу",В Екатеринбурге,,Мужчина,25-34 лет,ekat01
11232004516,251531412,2019-12-18 20:36:17,2019-12-18 20:37:31,85.140.14.214,Дром ру.. авто ру,drom.ru,,,,Нет,В Екатеринбурге,,Мужчина,35-44 лет,ekat01
11231997362,251531412,2019-12-18 20:34:07,2019-12-18 20:34:47,195.64.208.239,Avto.ru,drom.ru,auto.ru,,,Нет,В Екатеринбурге,,Мужчина,25-34 лет,ekat01
11231995108,251531412,2019-12-18 20:32:04,2019-12-18 20:33:54,5.166.55.74,идите в жопу рекламные ублюдки я ваш рот топтал,,,,сосите мои яйца рекламные ублюдки,"Да, я его вожу",В Екатеринбурге,,Мужчина,18-24 лет,ekat01
11231989594,251531412,2019-12-18 20:30:39,2019-12-18 20:31:46,176.59.203.64,Авито,,,avito.ru,,"Да, я его вожу",В Екатеринбурге,,Мужчина,25-34 лет,ekat01
11231987686,251531412,2019-12-18 20:30:18,2019-12-18 20:31:00,45.14.20.47,Drom,drom.ru,,,,"Да, я его вожу",В Екатеринбурге,,Женщина,35-44 лет,ekat01
11231985125,251531412,2019-12-18 20:29:24,2019-12-18 20:30:00,109.200.130.58,Avto.ru,,auto.ru,,,"Да, я его вожу",В Екатеринбурге,,Мужчина,35-44 лет,ekat01
