,id,Время старта,Время финиша,id опроса,Опрос полностью пройден,1. **Какие сайты или мобильные приложения о продаже автомобилей вы знаете?**,2. **Где вы разместите объявление о продаже автомобиля?**,2. **Где вы разместите объявление о продаже автомобиля?**,2. **Где вы разместите объявление о продаже автомобиля?**,2. **Где вы разместите объявление о продаже автомобиля?**,2. **Где вы разместите объявление о продаже автомобиля?**,3. **Есть ли в вашей семье автомобиль?**,6. **Где вы проживаете?**,6. **Где вы проживаете?**,9. **Ваш пол?**,10. **Ваш возраст?**
,,,,,,1. **Какие сайты или мобильные приложения о продаже автомобилей вы знаете?**,2. drom.ru,2. auto.ru,2. avito.ru,2. Другое (впишите свой вариант),2. Другое (впишите свой вариант)_Текст,3. **Есть ли в вашей семье автомобиль?**,6. **Где вы проживаете?**,6. **Где вы проживаете?**_Текст,9. **Ваш пол?**,10. **Ваш возраст?**
1,eb24b85b-4d98-51e9-895e-23f31cddba22,2019-12-16 13:12:27,2019-12-16 13:12:48,12aLco5Uf8m1gJsNEH2BPL,да,'avito.ru,,,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,35-44 лет
2,13024a42-9e2c-5f6d-9e53-f1ff70679c4f,2019-12-16 13:15:15,2019-12-16 13:15:51,12aLco5Uf8m1gJsNEH2BPL,да,'Да,,auto.ru,,,,"Да, но я его не вожу",в Челябинске,,Мужчина,Менее 18 лет
3,2ababb82-9a2e-5944-bac4-0d276ee7ab15,2019-12-16 13:19:43,2019-12-16 13:20:02,12aLco5Uf8m1gJsNEH2BPL,да,'Авито,drom.ru,auto.ru,,,,Нет,в Челябинске,,Мужчина,18-24 лет
4,b036fc7a-6941-55e5-95e3-c42503ac4b62,2019-12-16 13:24:16,2019-12-16 13:24:58,12aLco5Uf8m1gJsNEH2BPL,да,'drom.ru,drom.ru,auto.ru,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,35-44 лет
5,8cb14b5a-625f-5ae3-8708-dd8b9a79f64f,2019-12-16 13:27:38,2019-12-16 13:28:44,12aLco5Uf8m1gJsNEH2BPL,да,'Авто ру.  Колеса,,auto.ru,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,45-50 лет
6,9cf10ff8-b0fe-5ea2-b74e-3116925a8233,2019-12-16 13:32:22,2019-12-16 13:32:48,12aLco5Uf8m1gJsNEH2BPL,да,"'дром ру, авито, юла",drom.ru,auto.ru,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,35-44 лет
7,0027c3ca-7f82-5e31-b10e-ba6e3591caff,2019-12-16 13:54:26,2019-12-16 13:55:17,12aLco5Uf8m1gJsNEH2BPL,да,'avto.ru avito ,,auto.ru,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,25-34 лет
8,1b1db469-ee4b-5264-bb80-8b2609d73836,2019-12-16 14:11:56,2019-12-16 14:12:30,12aLco5Uf8m1gJsNEH2BPL,да,"'Авто.Ру, дром",drom.ru,auto.ru,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,25-34 лет
9,0634b888-3bf0-5c7c-8203-1f26c96db684,2019-12-16 14:29:02,2019-12-16 14:29:54,12aLco5Uf8m1gJsNEH2BPL,да,'дром.авито.юла,drom.ru,auto.ru,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,35-44 лет
10,2b7d19f4-e6ad-51e4-93d4-719d21795fde,2019-12-16 14:51:44,2019-12-16 14:53:37,12aLco5Uf8m1gJsNEH2BPL,да,"'Авито, Drom. ru, Авто ру. ",,,avito.ru,,,"Да, но я его не вожу",в Челябинской области,,Мужчина,18-24 лет
11,51e34772-590d-5672-bca4-48a5d7862378,2019-12-16 15:53:08,2019-12-16 15:53:40,12aLco5Uf8m1gJsNEH2BPL,да,'дром ру   авито   юла,drom.ru,auto.ru,,,,Нет,в Челябинске,,Мужчина,35-44 лет
12,e1e17f7e-b2bf-5464-994b-4eb2b5b685f4,2019-12-16 16:06:01,2019-12-16 16:06:55,12aLco5Uf8m1gJsNEH2BPL,да,'Авито дром.ру юла,drom.ru,auto.ru,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,25-34 лет
13,79ad6e21-784b-5bad-b448-4d48acad74cb,2019-12-16 16:28:55,2019-12-16 19:56:21,12aLco5Uf8m1gJsNEH2BPL,да,'auto ru,drom.ru,auto.ru,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,35-44 лет
14,220ca3c4-d904-516a-bc5b-df7b16f4ecd9,2019-12-16 16:42:34,2019-12-16 16:42:57,12aLco5Uf8m1gJsNEH2BPL,да,'Авито,,,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,35-44 лет
